"112年07月21日 每5秒指數統計"
"時間","發行量加權股價指數","未含金融保險股指數","未含電子股指數","未含金融電子股指數","水泥類指數","食品類指數","塑膠類指數","紡織纖維類指數","電機機械類指數","電器電纜類指數","化學生技醫療類指數","化學類指數","生技醫療類指數","玻璃陶瓷類指數","造紙類指數","鋼鐵類指數","橡膠類指數","汽車類指數","電子類指數","半導體類指數","電腦及週邊設備類指數","光電類指數","通信網路類指數","電子零組件類指數","電子通路類指數","資訊服務類指數","其他電子類指數","建材營造類指數","航運類指數","觀光餐旅類指數","金融保險類指數","貿易百貨類指數","油電燃氣類指數","綠能環保類指數","數位雲端類指數","運動休閒類指數","居家生活類指數","其他類指數",
="09:00:00","17,164.89","14,880.35","18,428.47","15,191.57","164.76","2,103.87","228.93","599.66","319.14","108.21","129.51","152.83","74.86","50.57","376.63","144.69","245.21","422.05","840.94","384.92","239.70","37.62","137.47","195.61","187.66","175.30","106.31","374.63","146.65","144.90","1,669.26","290.10","106.93","94.43","93.05","99.62","95.46","382.00",
="09:00:05","17,106.29","14,824.19","18,405.02","15,167.73","164.42","2,080.99","228.93","599.67","319.06","108.00","129.55","152.89","74.88","50.57","376.63","144.68","245.20","422.16","837.03","384.33","234.79","37.60","137.49","194.14","187.23","175.24","105.65","374.55","145.87","144.96","1,668.23","290.02","106.85","94.52","93.07","99.10","95.44","382.00",
="09:00:10","16,922.86","14,646.03","18,395.05","15,160.71","164.40","2,081.06","228.93","599.70","318.23","108.00","129.61","152.66","75.07","50.57","377.70","144.49","245.20","422.02","823.10","374.22","234.82","37.56","137.05","193.80","187.04","175.10","104.86","374.56","145.69","145.16","1,667.03","289.81","107.09","94.37","92.82","99.10","95.43","380.98",
="09:00:15","16,915.68","14,641.94","18,393.21","15,169.03","164.51","2,082.77","228.76","599.72","318.73","108.34","129.79","152.65","75.29","50.43","377.61","144.41","244.88","424.32","822.59","373.77","234.86","37.56","136.98","193.63","186.92","174.76","105.17","374.54","145.75","145.16","1,664.48","290.79","107.07","94.37","92.82","99.00","95.44","380.54",
="09:00:20","16,886.69","14,615.42","18,393.91","15,176.47","164.53","2,091.51","229.49","600.58","318.44","108.18","129.59","152.19","75.30","50.40","378.80","144.46","244.60","423.78","820.33","372.54","234.88","37.43","137.18","192.22","186.63","174.30","105.13","374.55","145.78","145.39","1,662.87","290.95","107.09","94.30","92.84","98.95","95.26","380.49",
="09:00:25","16,903.05","14,631.44","18,392.28","15,174.56","164.41","2,091.72","229.06","601.40","318.37","108.09","129.67","152.42","75.26","50.29","379.20","144.45","244.37","423.55","821.64","373.49","234.78","37.45","137.19","192.55","186.63","174.02","105.07","374.48","145.90","145.48","1,662.86","290.95","107.21","94.30","92.84","98.93","95.26","380.39",
="09:00:30","16,900.43","14,629.00","18,392.92","15,175.80","164.41","2,091.27","229.06","601.28","318.38","108.11","129.79","152.64","75.30","50.29","379.61","144.46","244.37","423.61","821.42","373.42","234.63","37.46","137.22","192.34","186.54","173.99","105.09","374.57","145.89","145.51","1,662.74","290.95","107.21","94.30","92.84","98.92","95.26","380.42",
="09:00:35","16,898.71","14,627.46","18,397.23","15,181.43","164.48","2,090.03","229.39","601.28","318.31","108.10","129.84","152.63","75.37","50.39","379.61","144.49","244.37","423.55","821.17","373.40","234.76","37.46","137.22","192.09","186.61","174.21","104.77","374.56","146.14","145.67","1,662.63","290.98","107.19","94.21","92.86","98.91","95.26","380.60",
="09:00:40","16,898.87","14,627.90","18,400.40","15,186.23","164.72","2,091.40","229.39","601.88","318.31","108.10","129.91","152.71","75.41","50.39","380.45","144.47","244.37","423.36","821.10","373.41","234.79","37.45","136.96","192.12","186.62","174.27","104.75","374.65","146.31","145.82","1,662.39","290.99","107.18","94.23","92.86","98.94","95.26","380.63",
="09:00:45","16,897.55","14,626.48","18,400.35","15,185.72","164.59","2,091.63","229.29","601.88","318.25","108.22","129.94","152.74","75.43","50.39","381.20","144.48","244.33","423.16","821.00","373.37","234.81","37.41","136.95","192.09","186.61","174.17","104.73","374.55","146.34","146.08","1,662.49","290.98","107.18","94.23","92.84","98.92","95.26","380.63",
="09:00:50","16,889.62","14,618.71","18,402.22","15,187.95","164.47","2,090.93","229.76","601.59","318.29","108.21","129.98","152.74","75.48","50.39","381.38","144.37","244.33","423.36","820.33","372.85","234.52","37.36","136.94","192.15","186.61","173.98","105.04","374.59","146.44","146.14","1,662.49","290.98","107.19","94.23","92.82","98.69","95.25","380.58",
="09:00:55","16,881.10","14,610.28","18,399.68","15,184.59","164.47","2,090.94","229.44","601.37","318.07","108.44","129.95","152.63","75.49","50.39","381.38","144.39","244.33","423.13","819.74","372.32","234.52","37.35","137.22","192.15","186.54","173.81","105.05","374.59","146.44","146.25","1,662.58","290.98","107.18","94.23","92.84","98.69","95.25","380.63",
="09:01:00","16,878.26","14,607.47","18,401.43","15,186.57","164.49","2,090.90","229.45","601.76","318.11","108.43","129.96","152.63","75.51","50.45","381.71","144.47","244.04","423.22","819.48","372.30","234.54","37.35","137.18","192.03","186.53","173.81","104.72","374.59","146.52","146.15","1,662.60","290.98","107.18","94.23","92.80","98.70","95.24","380.59",
="09:01:05","16,884.29","14,614.14","18,402.48","15,190.59","164.47","2,090.77","230.06","601.51","318.02","108.39","130.03","152.70","75.56","50.41","381.80","144.49","244.04","423.05","819.91","372.76","234.51","37.31","137.09","191.85","186.49","173.82","104.71","374.56","146.53","146.10","1,661.93","290.96","107.17","94.23","92.80","98.70","95.23","380.51",
="09:01:10","16,874.88","14,604.73","18,402.46","15,189.81","164.47","2,090.34","229.76","601.51","318.08","108.41","130.12","152.75","75.63","50.41","381.66","144.49","244.04","422.90","819.19","372.22","234.42","37.28","137.07","191.99","186.46","173.56","104.69","374.59","146.76","146.20","1,662.11","291.04","107.16","94.21","92.80","98.69","95.23","380.17",
="09:01:15","16,884.34","14,613.99","18,405.34","15,193.29","164.45","2,091.02","229.96","601.75","318.01","108.41","130.08","152.69","75.61","50.41","381.37","144.60","244.14","422.77","819.84","372.67","234.50","37.30","136.82","191.87","186.48","173.65","104.97","374.59","146.84","146.20","1,662.11","291.04","107.15","94.21","92.80","98.72","95.23","380.29",
="09:01:20","16,881.77","14,611.64","18,405.55","15,194.13","164.47","2,090.73","229.94","601.36","318.05","108.29","130.04","152.63","75.61","50.41","381.37","144.59","244.62","422.77","819.64","372.63","234.58","37.30","136.83","191.84","186.44","173.76","104.65","374.64","146.93","146.24","1,661.96","291.05","107.14","94.21","93.05","98.73","95.23","380.27",
="09:01:25","16,892.11","14,621.24","18,406.40","15,193.28","164.40","2,090.85","229.55","601.27","318.09","108.54","130.04","152.63","75.60","50.41","381.48","144.61","244.62","423.04","820.42","373.17","234.62","37.37","136.87","191.82","186.57","173.74","104.65","374.67","147.05","146.28","1,662.42","291.06","107.14","94.29","93.05","98.71","95.23","380.16",
="09:01:30","16,884.28","14,613.73","18,403.92","15,190.86","164.39","2,089.10","229.45","601.15","318.42","108.39","130.07","152.63","75.64","50.30","381.36","144.49","244.19","422.98","819.88","372.67","234.73","37.37","136.93","191.90","186.46","173.80","104.66","374.68","147.14","146.32","1,662.28","291.06","107.14","94.29","92.67","98.69","95.23","380.15",
="09:01:35","16,889.99","14,619.49","18,405.92","15,193.87","164.39","2,091.03","229.66","601.15","318.33","108.48","130.09","152.75","75.60","50.30","381.37","144.63","244.19","423.07","820.26","372.76","234.85","37.37","136.97","191.94","186.46","173.93","104.99","374.60","147.13","146.35","1,662.13","291.06","107.17","94.21","92.71","98.68","95.23","379.89",
="09:01:40","16,889.94","14,619.66","18,407.70","15,196.78","164.27","2,089.64","229.72","601.42","318.62","108.48","130.16","152.85","75.63","50.30","382.23","144.53","244.19","423.19","820.21","372.79","234.99","37.40","137.00","191.91","186.46","174.00","104.69","374.64","147.24","146.40","1,661.94","291.08","107.14","94.29","92.71","98.71","95.23","379.99",
="09:01:45","16,890.66","14,620.45","18,408.98","15,198.62","164.27","2,092.57","229.62","600.93","318.70","108.50","130.18","152.87","75.64","50.41","381.93","144.61","244.19","423.48","820.24","372.81","234.94","37.42","137.01","191.90","186.40","174.08","104.69","374.65","147.25","146.45","1,661.87","291.16","107.16","94.29","92.71","98.68","95.23","379.96",
="09:01:50","16,893.01","14,623.06","18,409.33","15,200.16","164.23","2,092.67","229.63","600.81","318.79","108.54","130.23","152.97","75.65","50.41","382.46","144.64","244.33","423.60","820.41","372.82","235.05","37.44","137.00","191.96","186.48","174.09","104.82","374.75","147.20","146.49","1,661.60","291.16","107.14","94.29","92.71","98.68","95.23","380.03",
="09:01:55","16,901.58","14,631.22","18,409.27","15,199.28","164.26","2,092.71","229.54","600.81","318.73","108.51","130.20","152.90","75.65","50.41","382.20","144.64","244.47","423.67","821.07","373.30","235.13","37.42","137.00","192.00","186.48","174.11","104.83","374.68","147.16","146.60","1,661.80","291.16","107.15","94.29","92.73","98.72","95.23","380.03",
="09:02:00","16,894.36","14,623.96","18,410.98","15,200.63","164.26","2,093.47","229.54","600.96","318.66","108.61","130.24","153.00","75.65","50.41","382.82","144.65","244.47","423.71","820.47","372.81","235.12","37.46","137.03","191.94","186.48","174.61","104.84","375.06","147.06","146.84","1,661.96","291.16","107.15","94.29","92.73","98.71","95.23","380.03",
="09:02:05","16,892.66","14,622.18","18,410.09","15,199.12","164.32","2,093.16","229.52","600.96","318.56","108.64","130.25","153.05","75.64","50.41","383.48","144.70","244.47","423.65","820.36","372.74","234.96","37.43","137.04","192.12","186.48","174.54","104.84","374.73","146.94","146.94","1,662.07","290.58","107.16","94.29","92.73","98.71","95.23","380.34",
="09:02:10","16,895.02","14,624.26","18,413.38","15,202.23","164.35","2,093.21","229.65","600.98","319.17","108.66","130.30","153.16","75.64","50.41","383.48","144.71","244.52","423.68","820.46","372.75","234.80","37.43","137.09","192.04","186.47","174.38","105.17","374.79","146.90","146.94","1,662.27","290.28","107.16","94.24","92.75","98.70","95.23","380.41",
="09:02:15","16,882.34","14,612.22","18,408.01","15,197.15","164.24","2,093.19","229.58","600.99","318.80","108.70","130.28","153.11","75.64","50.41","383.00","144.85","244.52","423.61","819.62","372.27","234.66","37.41","136.94","191.87","186.34","174.36","105.15","374.79","146.63","147.08","1,661.95","290.28","107.16","94.24","92.75","98.70","95.23","380.05",
="09:02:20","16,891.85","14,621.93","18,410.46","15,201.54","164.21","2,093.34","229.67","601.55","319.16","108.69","130.27","153.12","75.62","50.45","383.00","144.83","244.52","423.59","820.29","372.76","234.82","37.41","136.99","191.71","186.33","174.32","105.18","374.89","146.69","147.24","1,661.59","290.31","107.18","94.24","92.75","98.83","95.23","380.01",
="09:02:25","16,890.03","14,620.14","18,411.25","15,202.43","164.21","2,093.63","229.60","601.28","319.26","108.79","130.29","153.13","75.64","50.45","383.18","144.62","244.48","423.83","820.13","372.79","234.73","37.43","137.01","191.67","186.33","174.43","104.86","374.85","146.83","147.25","1,661.60","290.54","107.17","94.24","92.77","98.80","95.23","380.08",
="09:02:30","16,891.70","14,621.31","18,412.09","15,201.78","164.21","2,093.62","229.49","601.54","319.28","108.74","130.31","153.16","75.66","50.56","382.94","144.65","244.40","423.77","820.23","372.79","234.59","37.44","137.30","191.78","186.35","174.32","104.87","374.86","146.83","147.31","1,662.01","290.54","107.17","94.24","92.77","98.81","95.23","380.01",
="09:02:35","16,889.10","14,619.44","18,405.19","15,195.92","164.29","2,095.06","229.48","601.55","319.60","108.83","130.34","153.22","75.66","50.56","382.76","144.62","244.40","419.61","820.22","372.74","234.73","37.45","137.31","191.74","186.35","174.34","104.86","374.85","147.05","147.31","1,661.42","290.56","107.17","94.24","92.79","98.80","95.23","380.01",
="09:02:40","16,881.63","14,612.23","18,402.38","15,192.93","164.27","2,094.74","229.38","601.55","319.61","108.69","130.37","153.27","75.66","50.56","382.40","144.62","244.40","419.40","819.71","372.25","234.71","37.43","137.31","191.71","186.34","174.25","105.17","374.85","146.93","147.27","1,661.33","290.52","107.16","94.24","92.79","98.80","95.23","380.08",
="09:02:45","16,889.80","14,620.43","18,403.31","15,194.77","164.18","2,095.61","229.50","601.55","319.62","108.75","130.41","153.35","75.67","50.56","382.41","144.63","244.54","419.50","820.32","372.75","234.63","37.43","137.27","191.72","186.28","174.31","105.18","374.85","146.96","147.26","1,661.16","290.13","107.17","94.25","92.79","98.80","95.26","380.10",
="09:02:50","16,890.83","14,621.09","18,404.68","15,195.15","164.24","2,095.39","229.50","601.55","319.64","108.69","130.50","153.47","75.71","50.56","382.40","144.64","244.40","419.49","820.36","372.76","234.78","37.44","137.24","191.66","186.28","174.02","105.20","374.86","146.93","147.29","1,661.46","290.13","107.16","94.33","92.79","98.82","95.26","380.11",
="09:02:55","16,890.49","14,620.74","18,405.48","15,196.05","164.18","2,095.27","229.41","601.29","319.79","108.69","130.54","153.54","75.73","50.56","382.82","144.66","244.40","419.48","820.32","372.71","234.66","37.41","137.25","191.86","186.26","174.07","105.19","374.86","147.09","147.24","1,661.48","290.13","107.16","94.25","92.75","98.80","95.26","380.05",
="09:03:00","16,891.64","14,621.77","18,407.17","15,197.76","164.18","2,095.27","229.40","601.29","319.88","108.75","130.61","153.66","75.75","50.57","382.58","144.67","244.40","419.58","820.36","372.78","234.76","37.41","137.00","191.87","186.26","174.04","105.19","374.83","147.11","147.29","1,661.55","290.13","107.17","94.28","92.77","98.80","95.26","380.16",
="09:03:05","16,880.56","14,611.07","18,404.40","15,194.95","164.05","2,095.47","229.32","601.29","319.61","108.52","130.62","153.69","75.74","50.48","382.82","144.66","244.40","419.50","819.57","372.18","234.76","37.39","137.01","191.87","186.31","174.02","105.19","374.89","147.08","147.25","1,661.43","290.15","107.17","94.28","92.64","98.81","95.26","380.26",
="09:03:10","16,889.27","14,619.81","18,403.07","15,194.14","164.14","2,095.18","229.32","601.37","319.50","108.57","130.61","153.57","75.80","50.47","381.76","144.68","244.11","419.49","820.28","372.70","235.00","37.38","137.27","191.88","186.32","173.96","104.88","374.85","147.11","147.24","1,661.24","290.10","107.18","94.28","92.62","98.78","95.26","380.27",
="09:03:15","16,882.09","14,612.10","18,404.74","15,193.71","164.20","2,095.41","229.34","601.37","319.72","108.57","130.60","153.51","75.81","50.48","381.59","144.68","244.11","419.42","819.68","372.16","234.88","37.39","137.24","191.90","186.14","173.91","105.19","375.00","146.94","147.22","1,661.83","290.15","107.18","94.36","92.60","98.78","95.26","380.27",
="09:03:20","16,888.01","14,618.20","18,402.37","15,191.93","164.20","2,095.25","229.33","601.10","319.80","108.55","130.63","153.56","75.82","50.49","381.06","144.67","244.11","419.69","820.21","372.68","234.98","37.39","137.24","191.83","186.20","173.91","104.85","375.00","146.98","147.13","1,661.57","290.16","107.18","94.28","92.62","98.63","95.26","379.85",
="09:03:25","16,879.41","14,609.85","18,402.90","15,192.81","164.14","2,095.40","229.34","601.10","319.70","108.59","130.59","153.44","75.83","50.49","380.64","144.66","244.11","419.75","819.53","372.17","234.86","37.39","137.27","191.90","186.21","173.95","104.87","374.81","147.17","147.05","1,661.51","289.87","107.28","94.28","92.62","98.60","95.26","379.84",
="09:03:30","16,880.60","14,611.29","18,402.74","15,193.62","164.23","2,095.48","229.31","601.10","319.64","108.49","130.62","153.47","75.86","50.48","380.76","144.66","244.11","419.70","819.62","372.16","235.13","37.40","137.27","191.89","186.20","173.99","104.86","374.97","147.21","147.12","1,661.27","289.87","107.28","94.36","92.64","98.60","95.26","379.83",
="09:03:35","16,891.10","14,621.88","18,402.66","15,194.63","164.23","2,095.55","229.44","601.26","319.59","108.51","130.61","153.42","75.87","50.48","380.35","144.64","244.11","419.71","820.44","372.69","234.97","37.40","137.31","191.88","186.20","173.99","105.17","374.98","147.26","147.14","1,661.00","289.98","107.28","94.28","92.64","98.60","95.26","379.75",
="09:03:40","16,890.65","14,621.65","18,401.87","15,194.44","164.14","2,096.80","229.44","601.26","319.57","108.54","130.64","153.50","75.86","50.48","379.96","144.64","244.11","419.92","820.42","372.71","235.22","37.36","137.31","192.02","186.21","173.97","104.85","374.99","147.15","147.14","1,660.82","289.98","107.28","94.28","92.64","98.60","95.26","379.75",
="09:03:45","16,882.74","14,613.98","18,402.78","15,195.77","164.14","2,097.08","229.45","601.25","319.75","108.53","130.61","153.49","75.83","50.48","379.79","144.50","244.11","419.86","819.79","372.21","235.15","37.38","137.31","192.11","186.14","174.10","104.85","374.99","147.26","147.17","1,660.76","289.98","107.28","94.28","92.68","98.71","95.26","379.75",
="09:03:50","16,888.89","14,617.76","18,411.26","15,197.93","164.13","2,096.91","229.53","601.25","319.73","108.60","130.65","153.53","75.86","50.48","379.96","144.63","244.11","419.88","820.04","372.24","235.20","37.40","137.32","192.10","186.14","174.12","105.17","375.01","147.26","147.08","1,662.70","289.99","107.28","94.28","92.66","98.71","95.26","379.86",
="09:03:55","16,897.75","14,627.06","18,409.57","15,198.14","164.13","2,096.94","229.54","601.25","319.74","108.53","130.69","153.50","75.93","50.48","379.66","144.63","244.11","419.81","820.77","372.73","235.39","37.38","137.29","192.19","186.14","174.07","105.18","375.01","147.28","147.05","1,662.16","289.99","107.28","94.36","92.66","98.72","95.26","379.86",
="09:04:00","16,888.48","14,617.56","18,412.87","15,200.58","164.13","2,097.31","229.54","600.88","319.81","108.58","130.75","153.49","75.99","50.48","379.83","144.70","244.11","419.91","819.96","372.21","235.39","37.38","137.31","192.28","186.16","174.06","104.86","375.00","147.23","147.11","1,662.53","290.33","107.29","94.28","92.66","98.72","95.26","380.19",
="09:04:05","16,887.64","14,617.51","18,408.95","15,198.62","164.13","2,097.08","229.53","600.89","319.72","108.56","130.76","153.46","76.03","50.47","379.05","144.58","244.11","419.86","820.00","372.21","235.38","37.38","137.29","192.37","186.23","174.08","104.86","374.97","147.31","147.07","1,661.86","290.33","107.29","94.28","92.66","98.74","95.26","379.88",
="09:04:10","16,887.38","14,617.40","18,407.03","15,196.86","164.13","2,097.08","229.53","600.92","319.67","108.56","130.72","153.39","76.01","50.47","379.35","144.58","244.11","419.88","820.03","372.23","235.42","37.37","137.30","192.35","186.16","174.02","104.86","374.93","147.20","147.01","1,661.73","290.31","107.29","94.19","92.64","98.73","95.26","379.88",
="09:04:15","16,897.31","14,627.33","18,407.38","15,198.03","164.13","2,098.69","229.54","600.73","319.75","108.56","130.72","153.38","76.02","50.46","379.35","144.55","244.25","419.71","820.79","372.78","235.15","37.38","137.32","192.26","186.16","174.06","105.20","374.91","147.38","147.00","1,661.55","290.29","107.29","94.19","92.64","98.73","95.26","379.58",
="09:04:20","16,895.82","14,626.37","18,406.97","15,199.32","164.19","2,098.61","229.54","600.73","319.73","108.55","130.70","153.35","76.02","50.46","379.20","144.67","244.25","419.77","820.69","372.73","235.11","37.38","137.34","192.19","186.23","173.99","105.20","374.89","147.44","147.03","1,661.11","290.22","107.29","94.27","92.64","98.70","95.26","379.58",
="09:04:25","16,895.89","14,626.02","18,405.83","15,196.47","164.19","2,095.64","229.53","600.64","319.62","108.46","130.66","153.29","76.00","50.46","379.45","144.67","244.25","419.68","820.72","372.73","235.11","37.38","137.29","192.32","186.23","173.97","105.19","374.89","147.30","147.06","1,661.48","290.24","107.29","94.27","92.64","98.67","95.26","379.97",
="09:04:30","16,887.75","14,618.09","18,405.71","15,196.46","164.12","2,097.06","229.54","600.69","319.69","108.43","130.63","153.31","75.95","50.44","379.45","144.67","243.97","419.70","820.10","372.26","235.08","37.39","137.33","192.27","186.25","173.97","105.18","374.85","147.32","146.87","1,661.44","290.31","107.30","94.27","92.64","98.67","95.26","379.92",
="09:04:35","16,894.58","14,625.34","18,400.14","15,191.79","163.99","2,095.53","229.54","600.69","319.52","108.38","130.66","153.32","75.98","50.45","379.19","144.67","243.97","419.66","820.77","372.76","235.12","37.40","137.32","192.31","186.17","173.97","105.19","374.83","147.22","146.83","1,660.96","290.17","107.29","94.27","92.62","98.64","95.23","379.52",
="09:04:40","16,893.28","14,624.30","18,398.08","15,190.18","164.12","2,095.76","229.53","600.64","319.28","108.39","130.68","153.39","75.97","50.45","379.25","144.68","243.97","419.66","820.73","372.77","235.03","37.37","137.30","192.32","186.17","173.97","105.19","374.83","147.11","146.36","1,660.75","290.17","107.29","94.27","92.62","98.69","95.23","379.52",
="09:04:45","16,883.62","14,614.44","18,399.08","15,189.90","164.05","2,095.18","229.62","600.69","318.91","108.36","130.64","153.38","75.93","50.45","378.89","144.67","243.97","419.71","819.95","372.19","235.04","37.37","137.30","192.26","186.17","174.11","105.20","374.79","147.18","146.30","1,661.11","290.10","107.29","94.19","92.64","98.70","95.23","379.78",
="09:04:50","16,881.84","14,612.71","18,395.34","15,185.48","164.05","2,095.18","229.53","600.69","318.82","108.21","130.64","153.36","75.93","50.35","378.98","144.67","243.97","419.73","819.91","372.17","235.03","37.37","137.28","192.29","186.17","174.11","105.18","374.72","146.99","146.18","1,661.09","290.10","107.29","94.18","92.73","98.70","95.23","379.49",
="09:04:55","16,880.72","14,612.19","18,394.47","15,186.51","164.12","2,095.06","229.53","600.69","318.79","108.28","130.60","153.36","75.89","50.35","378.98","144.53","243.92","419.75","819.85","372.17","235.03","37.35","137.25","192.20","186.11","174.00","105.18","374.69","147.23","146.04","1,660.59","290.03","107.29","94.26","92.73","98.70","95.23","379.47",
="09:05:00","16,879.80","14,611.01","18,395.65","15,186.92","164.13","2,095.06","229.62","600.69","318.75","108.19","130.61","153.37","75.89","50.48","378.79","144.66","243.92","419.75","819.75","372.12","234.89","37.34","137.27","192.24","186.12","174.03","105.20","374.65","147.18","145.99","1,660.84","290.03","107.28","94.26","92.60","98.69","95.23","379.46",
="09:05:05","16,877.88","14,607.84","18,397.84","15,184.94","164.19","2,094.30","229.62","600.69","318.67","108.17","130.54","153.24","75.88","50.48","379.02","144.54","243.92","419.75","819.54","372.05","234.73","37.33","137.27","192.18","186.02","173.89","105.19","374.60","147.19","145.88","1,661.95","289.99","107.28","94.21","92.60","98.69","95.23","379.46",
="09:05:10","16,876.22","14,606.32","18,394.03","15,180.74","164.18","2,093.80","229.53","600.79","318.72","108.17","130.47","153.12","75.86","50.48","378.79","144.56","243.90","419.61","819.51","372.09","234.66","37.31","137.26","192.09","186.02","173.87","105.19","374.57","147.10","145.78","1,661.87","289.92","107.28","94.20","92.60","98.64","95.23","379.15",
="09:05:15","16,863.04","14,593.36","18,390.99","15,176.87","164.12","2,093.80","229.60","600.75","318.39","108.16","130.44","153.13","75.82","50.48","378.79","144.55","243.90","419.55","818.57","371.49","234.71","37.32","137.26","192.09","185.94","173.69","104.86","374.51","146.91","145.61","1,661.92","289.92","107.28","94.12","92.60","98.60","95.22","379.13",
="09:05:20","16,870.24","14,600.64","18,390.33","15,176.94","164.12","2,093.25","229.60","600.75","318.19","108.20","130.44","153.09","75.84","50.48","378.74","144.56","243.88","419.39","819.15","372.02","234.58","37.29","137.25","192.01","185.92","173.64","104.88","374.50","147.04","145.58","1,661.72","290.24","107.28","94.05","92.60","98.62","95.22","378.94",
="09:05:25","16,859.13","14,589.57","18,388.92","15,174.53","164.12","2,093.52","229.49","600.51","318.08","108.13","130.29","153.01","75.70","50.48","378.26","144.68","243.88","419.35","818.33","371.43","234.49","37.27","137.25","191.98","185.90","173.67","104.88","374.49","147.04","145.65","1,661.89","290.24","107.28","94.04","92.58","98.59","95.22","378.93",
="09:05:30","16,861.38","14,592.27","18,387.23","15,174.31","164.13","2,093.18","229.51","600.46","318.25","108.12","130.29","153.01","75.70","50.48","378.26","144.67","243.88","419.27","818.54","371.46","234.55","37.28","137.25","191.93","185.90","173.60","105.20","374.49","147.05","145.56","1,661.45","290.21","107.27","94.04","92.58","98.50","95.22","379.05",
="09:05:35","16,868.44","14,599.02","18,384.61","15,170.60","164.13","2,093.40","229.51","600.18","317.98","107.97","130.28","153.01","75.69","50.47","377.94","144.64","243.88","419.22","819.16","371.94","234.61","37.27","137.23","191.90","185.90","173.53","105.20","374.45","147.02","145.49","1,661.59","290.21","107.28","94.04","92.32","98.54","95.22","378.72",
="09:05:40","16,862.70","14,594.17","18,381.98","15,170.16","164.13","2,093.40","229.59","600.18","318.04","108.13","130.24","153.00","75.65","50.47","377.94","144.64","244.02","419.24","818.79","371.50","235.06","37.26","137.22","191.94","185.90","173.31","105.19","374.45","146.86","145.52","1,660.93","290.20","107.27","94.04","92.32","98.54","95.22","378.72",
="09:05:45","16,864.00","14,595.75","18,383.42","15,173.01","164.13","2,096.67","229.58","600.18","318.27","108.05","130.29","153.01","75.70","50.45","377.77","144.67","244.02","419.33","818.85","371.46","235.17","37.28","137.30","191.97","185.90","173.35","105.20","374.45","147.02","145.55","1,660.66","289.56","107.27","94.04","92.32","98.50","95.22","378.71",
="09:05:50","16,864.75","14,596.37","18,381.91","15,170.78","164.19","2,096.29","229.49","600.18","318.19","108.15","130.30","153.02","75.71","50.46","377.71","144.67","244.02","419.25","818.95","371.48","235.25","37.28","137.33","192.04","185.95","173.35","105.21","374.45","146.94","145.52","1,660.76","289.56","107.27","93.96","92.30","98.46","95.22","378.70",
="09:05:55","16,873.47","14,604.87","18,382.33","15,171.18","164.19","2,096.29","229.50","600.19","318.62","108.15","130.28","152.99","75.70","50.46","377.71","144.54","244.02","419.34","819.61","371.98","235.20","37.28","137.33","192.09","186.02","173.45","105.20","374.45","146.88","145.51","1,660.79","289.56","107.27","94.02","92.30","98.48","95.22","378.70",
="09:06:00","16,867.27","14,598.11","18,385.28","15,172.24","164.13","2,097.63","229.49","600.16","318.69","108.13","130.30","153.07","75.69","50.48","377.73","144.53","244.02","419.50","819.05","371.49","235.37","37.28","137.35","192.08","186.02","173.49","105.21","374.45","146.91","145.49","1,661.39","289.56","107.27","94.02","92.30","98.46","95.22","378.72",
="09:06:05","16,865.54","14,596.88","18,380.91","15,168.64","164.00","2,095.77","229.58","600.16","318.64","108.14","130.29","153.06","75.67","50.45","377.32","144.52","244.02","419.37","819.03","371.49","235.27","37.30","137.34","192.13","186.02","173.45","105.20","374.46","146.68","145.51","1,660.99","289.55","107.27","94.02","92.30","98.46","95.22","378.72",
="09:06:10","16,874.22","14,605.18","18,382.26","15,169.57","164.05","2,095.76","229.69","600.70","318.53","108.15","130.31","153.07","75.70","50.45","377.31","144.54","244.02","419.36","819.67","372.00","235.28","37.27","137.33","192.13","186.02","173.47","105.19","374.42","146.70","145.39","1,661.16","289.55","107.27","93.98","92.30","98.47","95.22","378.50",
="09:06:15","16,866.46","14,598.38","18,379.63","15,169.26","163.99","2,095.72","229.38","600.70","318.61","108.15","130.29","153.08","75.67","50.45","377.19","144.67","244.02","419.52","819.14","371.49","235.40","37.28","137.35","192.28","186.02","173.43","105.19","374.42","146.80","145.42","1,660.47","289.55","107.27","93.98","92.30","98.47","95.22","378.52",
="09:06:20","16,864.04","14,595.62","18,381.03","15,169.57","164.05","2,097.17","229.56","600.68","318.82","108.16","130.30","153.05","75.69","50.45","377.19","144.55","243.88","419.55","818.91","371.50","235.31","37.27","137.35","192.24","186.03","173.40","104.88","374.43","146.71","145.39","1,660.80","289.55","107.15","93.98","92.32","98.48","95.22","378.52",
="09:06:25","16,873.12","14,604.28","18,380.75","15,168.39","163.87","2,096.94","229.56","600.69","318.82","108.15","130.33","153.08","75.71","50.45","376.65","144.52","243.88","419.54","819.62","372.01","235.40","37.28","137.35","192.23","186.04","173.29","104.89","374.43","146.69","145.36","1,661.01","289.55","107.15","93.98","92.32","98.50","95.22","378.51",
="09:06:30","16,874.69","14,606.11","18,381.05","15,169.84","164.00","2,097.21","229.40","600.69","318.90","108.12","130.36","153.10","75.74","50.45","375.60","144.65","243.88","419.62","819.74","371.99","235.31","37.29","137.37","192.27","185.96","173.37","105.15","374.37","146.70","145.37","1,660.74","289.55","107.15","93.98","92.69","98.50","95.25","378.71",
